,BiasAdjustedAbsReturn,NaiveForecast,GARCHForecast,EGARCHForecast
2025-10-17,0.11261673216053733,0.1115755544684469,0.1650143031003356,0.1787087164581167
2025-10-20,0.20585704042349393,0.1119473806038982,0.1540422038714361,0.1641015300309614
2025-10-21,0.00029730192908645516,0.1151516018472355,0.1540880482555652,0.1529587154405267
2025-10-22,0.10370612291925707,0.1151588300380346,0.141419527804897,0.1414830824318945
2025-10-23,0.11763259188687353,0.1164820636219751,0.136134901081155,0.147306769870182
2025-10-24,0.16193823838835622,0.1153741127959331,0.1298240224306235,0.13692425615601
2025-10-27,0.23335131371921303,0.1172482001317683,0.1290921104263515,0.1285752592350058
2025-10-28,0.05277157849258567,0.1206843848219995,0.1387855263916267,0.1224380071301047
2025-10-29,0.00955503700021092,0.1204731483589486,0.1284575552600525,0.1140835563827773
2025-10-30,0.22002751926121564,0.1202439942093295,0.118998928364038,0.1060138334044084
2025-10-31,0.0651538574027281,0.1251711596538997,0.1353074277615943,0.1384222341044149
2025-11-03,0.03730235230438211,0.1248039719653145,0.1258804095380203,0.1283141405620416
2025-11-04,0.23724406488033203,0.1243206476974477,0.1169167888065791,0.1190013650655784
2025-11-05,0.0688290463491944,0.1284980956613853,0.1371855017041496,0.1523234041455884
2025-11-06,0.2146221385281844,0.1282400295599868,0.127653411314817,0.1405102766130971
2025-11-07,0.019579019042356982,0.1317110210242581,0.1405339035058912,0.1656105398907482
2025-11-10,0.30806141507396395,0.1308308561451259,0.1294650067610126,0.1512755992203772
2025-11-11,0.045496421443099976,0.1377831689257488,0.1529087719813636,0.14349393896648
2025-11-12,0.011066721502658434,0.1375816585545236,0.1405641109060654,0.1324326013025217
2025-11-13,0.332919832135505,0.1373666718713895,0.1295070422234232,0.1221947936820967
2025-11-14,0.003259674992206728,0.1463810469729048,0.1658267310337477,0.1749668816588163
2025-11-17,0.18622449503183186,0.1463830561453039,0.1517412458350132,0.1610069541453954
2025-11-18,0.16778104634277569,0.1485255835246953,0.1543616187479931,0.1777084042957968
2025-11-19,0.07671269576879591,0.1500906294305504,0.1539617394688572,0.1886912233746848
2025-11-20,0.30559037078150003,0.1494372711097838,0.142506496789081,0.1721452629733613
2025-11-21,0.19720370211661242,0.1554032921249828,0.1684301332767596,0.2083941518028099
2025-11-24,0.2907034857809479,0.1366943875423107,0.1647003919006116,0.1910014972203081
2025-11-25,0.18626513850981616,0.1361202746599119,0.1750812069546755,0.1775658909627333
2025-11-26,0.1368763492054157,0.1385371103214512,0.1689748077358402,0.164295828090313
2025-11-28,0.10830429847554533,0.1392997210929877,0.1592051841887347,0.1520120550706784
2025-12-01,0.09104141545562529,0.138054257802462,0.1487680310807516,0.1408744655831345
